News Page URL,Date,News Title,Page Content
https://www.newswire.lk/2025/03/16/asela-sampath-joins-tractor-for-cmc-mayoral-race/,2025-03-16,Asela Sampath joins 'Tractor' for CMC mayoral race,"Social activist Asela Sampath has joined Battaramulle Seelaratne Thera's Jana Setha Peramuna to contest the upcoming Local Government Elections for the Colombo Municipal Council (CMC).

He signed his nomination today to run under the tractor symbol as the party's mayoral candidate for CMC.

Addressing the media after signing his nomination, he urged Colombo voters to support the tractor symbol to 'clean' the city. (NewsWire)"
https://www.newswire.lk/2025/03/16/six-arrested-over-musical-show-violence/,2025-03-16,Six arrested over Musical Show violence,"Medirigiriya Police have arrested six suspects in connection with the violence that erupted during a musical show in Divulankadawala. The arrested individuals are scheduled to be produced before court tomorrow (17).

The unrest occurred on the night of March 14 at the Divulankadawala President's College playground after two advertised singers failed to appear for their performances. Frustrated attendees reacted violently, damaging property, including musical instruments and seating arrangements.

Police stated that five special teams have been deployed to track down and apprehend the remaining suspects involved in the incident. Investigations are ongoing. (NewsWire)"
https://www.newswire.lk/2025/03/16/jayasuriya-partners-with-as-to-launch-leos-a-0-commission-ride-hailing-app/,2025-03-16,Jayasuriya-Backed Leos to Launch 0% Commission Ride-Hailing App,"Sri Lanka's beloved cricket legend Sanath Jayasuriya has partnered with ATLAS Pty Ltd to introduce Leos, a budget-friendly ride-hailing app designed to transform the industry by charging 0% commission from drivers.

Since launching driver registrations on March 2, 2025, Leos has already received over 2,500 sign-ups from the Colombo region, demonstrating strong market demand for a fairer and more driver-friendly alternative in the ride-hailing industry.

Jayasuriya, along with co-founders Jerome Anthony and P.D.Silva believes this initiative will foster healthy competition while providing tangible benefits to both drivers and commuters.

""With Leos, we're committed to creating a platform that truly empowers drivers while ensuring passengers have access to affordable and reliable rides. This is a ride-hailing service designed to put drivers and riders first,"" said the founders.

To encourage early adoption, Leos is offering 12 months of 0% commission for drivers who register before April 1, 2025. This initiative aims to build a strong driver community from the outset.

Leos is preparing to launch its Rider App in May 2025, bringing an affordable, high-quality transportation experience tailored to Sri Lankan needs. Currently, driver registration is open exclusively for Colombo-based drivers, with plans to expand to other regions soon.

For more information, visit https://www.leos.one/ or download the Leos Driver app from the App Store or Google Play Store."
https://www.newswire.lk/2025/03/16/ags-order-sparks-new-developments-in-weligama-shooting-case-involving-deshabandu/,2025-03-16,AG's order sparks new developments in Weligama Shooting Case involving Deshabandu,"The Attorney General has directed the CID not to arrest the OIC of the Colombo Crimes Division (CCD) and five others over the 2023 shooting incident near a hotel in Weligama. This decision follows an agreement reached between the AG and the petitioners' lawyers.

However, the directive does not apply to IGP Deshabandu Tennakoon, who remains the only officer subject to arrest in connection with the case."
https://www.newswire.lk/2025/03/16/nolimit-marks-a-major-milestone-with-the-grand-opening-of-its-25th-store-in-sri-lanka/,2025-03-16,NOLIMIT Marks a Major Milestone with the Grand Opening of its 25th Store in Sri Lanka,"NOLIMIT, Sri Lanka's premier retail fashion brand, proudly announces the grand opening of its 25th store in Kalagedihena, marking a significant milestone in the company's journey of excellence in fashion retail. As a brand that continuously redefines the shopping experience, NOLIMIT's latest store opening is a testament to its commitment to making high-quality fashion accessible to communities across the nation.

Strategically located between Yakkala and Thihariya, the new 36,000-square-foot store stands as a landmark destination, offering a world-class shopping experience that blends convenience, style, and exceptional service. Designed to reflect global fashion trends while embracing the essence of local style, the Kalagedihena store promises an unparalleled shopping experience with an extensive collection of clothing and accessories for men, women, and children.

With ample parking facilities and a meticulously designed layout, the new NOLIMIT store ensures a seamless and comfortable shopping journey for customers. Every section of the store has been thoughtfully curated to provide a diverse selection of fashion-forward apparel, ranging from everyday essentials to statement pieces that cater to Sri Lanka's ever-evolving fashion landscape.

Since its establishment in 1992, NOLIMIT has grown to become Sri Lanka's largest retail fashion chain, with a presence that extends beyond the island to the UAE, where it operates four stores. Over the years, NOLIMIT has garnered multiple accolades, including Best Retailer and Customer Service Excellence awards, reinforcing its leadership in the industry and its reputation as a customer-centric brand.

The launch of the Kalagedihena store underscores NOLIMIT's dedication to continuous expansion and innovation in the fashion retail sector. With its latest addition, the brand sets a new benchmark in retail excellence, reinforcing its mission to transform every location into a fashion landmark.

As NOLIMIT continues to redefine the retail experience, this milestone marks yet another chapter in its legacy of excellence. Shoppers can now experience the latest trends and an exceptional shopping environment, reaffirming NOLIMIT's position as the leading fashion destination in Sri Lanka.

For more information, visit www.nolimit.lk or follow NOLIMIT on social media for updates and exclusive offers."
https://www.newswire.lk/2025/03/16/severe-lightning-warning-issued-for-18-districts/,2025-03-16,Severe lightning warning issued for 18 districts,"Thundershowers accompanied by severe lightning are likely to occur at several places in Western, Sabaragamuwa, Central, Southern, North-western and Northern provinces and in Anuradhapura district"
https://www.newswire.lk/2025/03/16/member-mahanama-objects-govts-matara-int-cricket-training-school-stadium-plan/,2025-03-16,Mahanama objects Govt's Matara Int. cricket training school & stadium plan,"Former cricketer and National Sports Council member Roshan Mahanama has raised concerns over the government's decision to construct an international cricket training school and stadium in Matara.

Mahanama stated that he had previously shared similar views when invited to discuss such matters with former Prime Minister Mahinda Rajapaksa in May 2020.

He emphasized that rather than investing in new cricket stadiums, available funds should be allocated to upgrading existing facilities to better support young cricketers across the country.

The preliminary work for the Matara Polhena International Cricket Training School and Stadium is expected to be completed within a month, Minister Sunil Handuneththi announced recently. A meeting was held last week at the Matara District Secretariat under the leadership of Minister Sunil Handuneththi, with the participation of Sri Lanka Cricket (SLC) officials and other relevant stakeholders to expedite the project.

""I strongly believe that the need of the hour and utilization of valuable funds should not be channelled to build new, expensive cricket stadiums in our nation. We have many grounds used from Division one to school level spread all over the country, especially from Moratuwa to Hambantota in the down south region and these funds would be much better utilized in a cohesive national plan to elevate selected facilities to the next level and develop other existing facilities to a level where children can train and grow their skills closer to home/school. This will definitely benefit a larger talent pool and create a more sustainable impact over the years. Unfortunately, the motives and purpose behind these new mega developments need to be scrutinized and questioned as they may have vested interests and not focused purely on the development of budding talent or following a validated ROI or cost-benefit analysis. I believe this is a matter worthy of the attention of the current President and Prime Minister, to ensure the right objective are at the forefront and the principles of clean Sri Lanka are followed"" Roshan Mahanama said. (NewsWire)"
https://www.newswire.lk/2025/03/16/ranil-rejects-batalanda-report/,2025-03-16,Ranil rejects Batalanda Report,
https://www.newswire.lk/2025/03/16/only-summoned-as-a-witness-ranil-rejects-batalanda-report/,2025-03-16,"""Only summoned as a witness"" Ranil rejects Batalanda Report","Former President Ranil Wickremesinghe has rejected the findings of the Batalanda Commission report, claiming it was politically motivated.

Making a special statement, Wickremesinghe said that the commission was established with the sole purpose of discrediting him but failed to achieve its objective.

The report only mentioned his involvement in facilitating housing for police officers during the 1988-1990 insurgency but did not implicate him in any other allegations, he said.

""I was only summoned as a witness. According to the commission's findings, I was implicated only in the matter of providing housing for police officers, which, as per regulations, should have been done through the Inspector General of Police. The report indicates that both Nalin Delgoda and I were indirectly responsibile for this process. Apart from this, I was not implicated in any other allegations in the commission's report,"" Wickremesinghe said.

The former president further noted that the report was made available in Parliament in 2000, yet no party, including the JVP, requested a debate on it.

The full statement by former President Ranil Wickremesinghe:

In 1987, following the signing of the Indo-Lanka Accord, the Janatha Vimukthi Peramuna (JVP) launched a wave of terror across the country.

During this period, President J.R. Jayewardene assigned the responsibility of securing key locations in the country to Cabinet ministers. Several economically significant sites were located in the Biyagama area, including the oil refinery, diesel power plant, the substation supplying electricity from Mahaweli to Colombo, and the free trade zone. The military was deployed to safeguard these locations.

To accommodate security personnel, it was decided to provide them with abandoned buildings and houses owned by the Lanka Fertilizer Manufacturing Corporation. At the time, several employees of the Ceylon Electricity Board were residing in some of these houses.

During this period of terror, the Sapugaskanda police station was attacked, and its officer-in-charge was killed. In response, Deputy Minister of Defence Ranjan Wijeratne contacted me, requesting that the vacant houses in the complex be allocated to military and police personnel for their security. Consequently, the administrator at the time took steps to hand over the houses to Kelani Police Chief Nalin Delgoda.

Several individuals, including a provincial councilor, a cooperative society chairman, and a police sergeant, were assassinated during this period. Additionally, an attack was carried out on the residence of another provincial council member.

The government in power took steps to restore the country's stability, rebuilding the economy and ensuring national security.

After 1994, President Chandrika Bandaranaike Kumaratunga appointed a commission to investigate allegations of a torture centre in the Batalanda area. Several individuals were summoned before the commission, and I was called as a witness. At that time, I was serving as the Leader of the Opposition. The establishment of the Batalanda Commission was politically motivated, but the attempt to use it for political gain was unsuccessful.

According to the commission's findings, I was implicated only in the matter of providing housing for police officers, which, as per regulations, should have been done through the Inspector General of Police. The report indicates that both Nalin Delgoda and I were indirectly responsibile for this process.

Apart from this, I was not implicated in any other allegations in the commission's report. The report also extensively documented the JVP's terrorist activities between 1988 and 1990, detailing the background and listing numerous violent acts committed by the JVP in Chapter Three. The entire history of those events is included in the report.

Beyond these findings, no other accusations in the report are relevant to me, and I completely reject the report.

No one can claim that the Batalanda Commission report was hidden. It was made available as a parliamentary session record in 2000, yet no one, including the JVP, requested a debate on it. Many did not accept the report, which may explain why no steps were taken to debate it in Parliament.

It is also noteworthy that no political party that came to power has attempted to use the report for political advantage. Furthermore, there is no precedent in Sri Lanka or other parliaments for debating a session record 25 years after its publication. (Newswire)"
https://www.newswire.lk/2025/03/16/body-of-a-newborn-found-in-batticaloa/,2025-03-16,Body of a newborn found in Batticaloa,"The body of a newborn was found in a forest area in the Santhiveli area in Batticaloa early this morning (15 Mar).

According to the Police, the body of the newborn was found close to the Devapuram Grounds in the area.

The body has been placed at the Batticaloa Hospital for a postmortem examination.

The Santhiveli Police is conducting further investigations. (Newswire)"
